system:index,NDVI_mean,NDVI_stdDev,date,feature_id,.geo
00000000000000000000_20200105T112349_20200105T112437_T29TPE,0.7452083441043104,0.08477967149046657,2020-01-05,,"{""type"":""Polygon"",""coordinates"":[[[-7.3452988251314,39.827343969999355],[-7.34521855439692,39.82710316457713],[-7.344982193071496,39.82644771465069],[-7.344112657477898,39.82660376332871],[-7.343849598571777,39.82670628511185],[-7.34334573482206,39.82685344083253],[-7.34307814628402,39.82698725823086],[-7.342823991714398,39.826906977436444],[-7.342520804025588,39.826866828914035],[-7.3423736196221725,39.82711650850433],[-7.3422755518033505,39.827410878345546],[-7.341990167013753,39.827798822761444],[-7.341722583806599,39.82813767617513],[-7.341209835679879,39.828646019034764],[-7.341058204058741,39.82917216803186],[-7.341499667278636,39.8297161848931],[-7.341758267000704,39.8296180945043],[-7.342083784300533,39.82939516204568],[-7.342516353876586,39.82922566516802],[-7.342547504925723,39.82907411136801],[-7.343046994991951,39.82885116123953],[-7.3433858690729625,39.82872626344126],[-7.343760429085619,39.82856129707257],[-7.344197377166649,39.828316060405726],[-7.344719130804222,39.82809754807251],[-7.345017877974921,39.82782552856776],[-7.3452988251314,39.827343969999355]]]}"
00000000000000000000_20200110T112431_20200110T112436_T29TPE,0.7194840133768393,0.08278500079392696,2020-01-10,,"{""type"":""Polygon"",""coordinates"":[[[-7.3452988251314,39.827343969999355],[-7.34521855439692,39.82710316457713],[-7.344982193071496,39.82644771465069],[-7.344112657477898,39.82660376332871],[-7.343849598571777,39.82670628511185],[-7.34334573482206,39.82685344083253],[-7.34307814628402,39.82698725823086],[-7.342823991714398,39.826906977436444],[-7.342520804025588,39.826866828914035],[-7.3423736196221725,39.82711650850433],[-7.3422755518033505,39.827410878345546],[-7.341990167013753,39.827798822761444],[-7.341722583806599,39.82813767617513],[-7.341209835679879,39.828646019034764],[-7.341058204058741,39.82917216803186],[-7.341499667278636,39.8297161848931],[-7.341758267000704,39.8296180945043],[-7.342083784300533,39.82939516204568],[-7.342516353876586,39.82922566516802],[-7.342547504925723,39.82907411136801],[-7.343046994991951,39.82885116123953],[-7.3433858690729625,39.82872626344126],[-7.343760429085619,39.82856129707257],[-7.344197377166649,39.828316060405726],[-7.344719130804222,39.82809754807251],[-7.345017877974921,39.82782552856776],[-7.3452988251314,39.827343969999355]]]}"
00000000000000000000_20200120T112401_20200120T112435_T29TPE,0.751800631063552,0.08639616191712793,2020-01-20,,"{""type"":""Polygon"",""coordinates"":[[[-7.3452988251314,39.827343969999355],[-7.34521855439692,39.82710316457713],[-7.344982193071496,39.82644771465069],[-7.344112657477898,39.82660376332871],[-7.343849598571777,39.82670628511185],[-7.34334573482206,39.82685344083253],[-7.34307814628402,39.82698725823086],[-7.342823991714398,39.826906977436444],[-7.342520804025588,39.826866828914035],[-7.3423736196221725,39.82711650850433],[-7.3422755518033505,39.827410878345546],[-7.341990167013753,39.827798822761444],[-7.341722583806599,39.82813767617513],[-7.341209835679879,39.828646019034764],[-7.341058204058741,39.82917216803186],[-7.341499667278636,39.8297161848931],[-7.341758267000704,39.8296180945043],[-7.342083784300533,39.82939516204568],[-7.342516353876586,39.82922566516802],[-7.342547504925723,39.82907411136801],[-7.343046994991951,39.82885116123953],[-7.3433858690729625,39.82872626344126],[-7.343760429085619,39.82856129707257],[-7.344197377166649,39.828316060405726],[-7.344719130804222,39.82809754807251],[-7.345017877974921,39.82782552856776],[-7.3452988251314,39.827343969999355]]]}"
00000000000000000000_20200219T112111_20200219T112435_T29TPE,0.8082201169135874,0.07060541199310477,2020-02-19,,"{""type"":""Polygon"",""coordinates"":[[[-7.3452988251314,39.827343969999355],[-7.34521855439692,39.82710316457713],[-7.344982193071496,39.82644771465069],[-7.344112657477898,39.82660376332871],[-7.343849598571777,39.82670628511185],[-7.34334573482206,39.82685344083253],[-7.34307814628402,39.82698725823086],[-7.342823991714398,39.826906977436444],[-7.342520804025588,39.826866828914035],[-7.3423736196221725,39.82711650850433],[-7.3422755518033505,39.827410878345546],[-7.341990167013753,39.827798822761444],[-7.341722583806599,39.82813767617513],[-7.341209835679879,39.828646019034764],[-7.341058204058741,39.82917216803186],[-7.341499667278636,39.8297161848931],[-7.341758267000704,39.8296180945043],[-7.342083784300533,39.82939516204568],[-7.342516353876586,39.82922566516802],[-7.342547504925723,39.82907411136801],[-7.343046994991951,39.82885116123953],[-7.3433858690729625,39.82872626344126],[-7.343760429085619,39.82856129707257],[-7.344197377166649,39.828316060405726],[-7.344719130804222,39.82809754807251],[-7.345017877974921,39.82782552856776],[-7.3452988251314,39.827343969999355]]]}"
00000000000000000000_20200224T112109_20200224T112421_T29TPE,0.8366083508517475,0.07444393524041051,2020-02-24,,"{""type"":""Polygon"",""coordinates"":[[[-7.3452988251314,39.827343969999355],[-7.34521855439692,39.82710316457713],[-7.344982193071496,39.82644771465069],[-7.344112657477898,39.82660376332871],[-7.343849598571777,39.82670628511185],[-7.34334573482206,39.82685344083253],[-7.34307814628402,39.82698725823086],[-7.342823991714398,39.826906977436444],[-7.342520804025588,39.826866828914035],[-7.3423736196221725,39.82711650850433],[-7.3422755518033505,39.827410878345546],[-7.341990167013753,39.827798822761444],[-7.341722583806599,39.82813767617513],[-7.341209835679879,39.828646019034764],[-7.341058204058741,39.82917216803186],[-7.341499667278636,39.8297161848931],[-7.341758267000704,39.8296180945043],[-7.342083784300533,39.82939516204568],[-7.342516353876586,39.82922566516802],[-7.342547504925723,39.82907411136801],[-7.343046994991951,39.82885116123953],[-7.3433858690729625,39.82872626344126],[-7.343760429085619,39.82856129707257],[-7.344197377166649,39.828316060405726],[-7.344719130804222,39.82809754807251],[-7.345017877974921,39.82782552856776],[-7.3452988251314,39.827343969999355]]]}"
00000000000000000000_20200310T112111_20200310T112439_T29TPE,0.8578530080316682,0.07065595178047639,2020-03-10,,"{""type"":""Polygon"",""coordinates"":[[[-7.3452988251314,39.827343969999355],[-7.34521855439692,39.82710316457713],[-7.344982193071496,39.82644771465069],[-7.344112657477898,39.82660376332871],[-7.343849598571777,39.82670628511185],[-7.34334573482206,39.82685344083253],[-7.34307814628402,39.82698725823086],[-7.342823991714398,39.826906977436444],[-7.342520804025588,39.826866828914035],[-7.3423736196221725,39.82711650850433],[-7.3422755518033505,39.827410878345546],[-7.341990167013753,39.827798822761444],[-7.341722583806599,39.82813767617513],[-7.341209835679879,39.828646019034764],[-7.341058204058741,39.82917216803186],[-7.341499667278636,39.8297161848931],[-7.341758267000704,39.8296180945043],[-7.342083784300533,39.82939516204568],[-7.342516353876586,39.82922566516802],[-7.342547504925723,39.82907411136801],[-7.343046994991951,39.82885116123953],[-7.3433858690729625,39.82872626344126],[-7.343760429085619,39.82856129707257],[-7.344197377166649,39.828316060405726],[-7.344719130804222,39.82809754807251],[-7.345017877974921,39.82782552856776],[-7.3452988251314,39.827343969999355]]]}"
00000000000000000000_20200315T112109_20200315T112755_T29TPE,0.820052400962488,0.06331551506465989,2020-03-15,,"{""type"":""Polygon"",""coordinates"":[[[-7.3452988251314,39.827343969999355],[-7.34521855439692,39.82710316457713],[-7.344982193071496,39.82644771465069],[-7.344112657477898,39.82660376332871],[-7.343849598571777,39.82670628511185],[-7.34334573482206,39.82685344083253],[-7.34307814628402,39.82698725823086],[-7.342823991714398,39.826906977436444],[-7.342520804025588,39.826866828914035],[-7.3423736196221725,39.82711650850433],[-7.3422755518033505,39.827410878345546],[-7.341990167013753,39.827798822761444],[-7.341722583806599,39.82813767617513],[-7.341209835679879,39.828646019034764],[-7.341058204058741,39.82917216803186],[-7.341499667278636,39.8297161848931],[-7.341758267000704,39.8296180945043],[-7.342083784300533,39.82939516204568],[-7.342516353876586,39.82922566516802],[-7.342547504925723,39.82907411136801],[-7.343046994991951,39.82885116123953],[-7.3433858690729625,39.82872626344126],[-7.343760429085619,39.82856129707257],[-7.344197377166649,39.828316060405726],[-7.344719130804222,39.82809754807251],[-7.345017877974921,39.82782552856776],[-7.3452988251314,39.827343969999355]]]}"
00000000000000000000_20200325T112109_20200325T112516_T29TPE,0.8449722566746678,0.05463588335377861,2020-03-25,,"{""type"":""Polygon"",""coordinates"":[[[-7.3452988251314,39.827343969999355],[-7.34521855439692,39.82710316457713],[-7.344982193071496,39.82644771465069],[-7.344112657477898,39.82660376332871],[-7.343849598571777,39.82670628511185],[-7.34334573482206,39.82685344083253],[-7.34307814628402,39.82698725823086],[-7.342823991714398,39.826906977436444],[-7.342520804025588,39.826866828914035],[-7.3423736196221725,39.82711650850433],[-7.3422755518033505,39.827410878345546],[-7.341990167013753,39.827798822761444],[-7.341722583806599,39.82813767617513],[-7.341209835679879,39.828646019034764],[-7.341058204058741,39.82917216803186],[-7.341499667278636,39.8297161848931],[-7.341758267000704,39.8296180945043],[-7.342083784300533,39.82939516204568],[-7.342516353876586,39.82922566516802],[-7.342547504925723,39.82907411136801],[-7.343046994991951,39.82885116123953],[-7.3433858690729625,39.82872626344126],[-7.343760429085619,39.82856129707257],[-7.344197377166649,39.828316060405726],[-7.344719130804222,39.82809754807251],[-7.345017877974921,39.82782552856776],[-7.3452988251314,39.827343969999355]]]}"
00000000000000000000_20200524T112119_20200524T112114_T29TPE,0.6522946795559823,0.07859093822312495,2020-05-24,,"{""type"":""Polygon"",""coordinates"":[[[-7.3452988251314,39.827343969999355],[-7.34521855439692,39.82710316457713],[-7.344982193071496,39.82644771465069],[-7.344112657477898,39.82660376332871],[-7.343849598571777,39.82670628511185],[-7.34334573482206,39.82685344083253],[-7.34307814628402,39.82698725823086],[-7.342823991714398,39.826906977436444],[-7.342520804025588,39.826866828914035],[-7.3423736196221725,39.82711650850433],[-7.3422755518033505,39.827410878345546],[-7.341990167013753,39.827798822761444],[-7.341722583806599,39.82813767617513],[-7.341209835679879,39.828646019034764],[-7.341058204058741,39.82917216803186],[-7.341499667278636,39.8297161848931],[-7.341758267000704,39.8296180945043],[-7.342083784300533,39.82939516204568],[-7.342516353876586,39.82922566516802],[-7.342547504925723,39.82907411136801],[-7.343046994991951,39.82885116123953],[-7.3433858690729625,39.82872626344126],[-7.343760429085619,39.82856129707257],[-7.344197377166649,39.828316060405726],[-7.344719130804222,39.82809754807251],[-7.345017877974921,39.82782552856776],[-7.3452988251314,39.827343969999355]]]}"
00000000000000000000_20200529T112121_20200529T112609_T29TPE,0.5713495303809394,0.09429381486454887,2020-05-29,,"{""type"":""Polygon"",""coordinates"":[[[-7.3452988251314,39.827343969999355],[-7.34521855439692,39.82710316457713],[-7.344982193071496,39.82644771465069],[-7.344112657477898,39.82660376332871],[-7.343849598571777,39.82670628511185],[-7.34334573482206,39.82685344083253],[-7.34307814628402,39.82698725823086],[-7.342823991714398,39.826906977436444],[-7.342520804025588,39.826866828914035],[-7.3423736196221725,39.82711650850433],[-7.3422755518033505,39.827410878345546],[-7.341990167013753,39.827798822761444],[-7.341722583806599,39.82813767617513],[-7.341209835679879,39.828646019034764],[-7.341058204058741,39.82917216803186],[-7.341499667278636,39.8297161848931],[-7.341758267000704,39.8296180945043],[-7.342083784300533,39.82939516204568],[-7.342516353876586,39.82922566516802],[-7.342547504925723,39.82907411136801],[-7.343046994991951,39.82885116123953],[-7.3433858690729625,39.82872626344126],[-7.343760429085619,39.82856129707257],[-7.344197377166649,39.828316060405726],[-7.344719130804222,39.82809754807251],[-7.345017877974921,39.82782552856776],[-7.3452988251314,39.827343969999355]]]}"
