system:index,NDVI_mean,NDVI_stdDev,NDWI_mean,NDWI_stdDev,date,.geo
20180724T112109_20180724T112335_T29TPE,0.3445539924124982,0.2019575521335263,-0.12511080167720992,0.1875525424391323,2018-07-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180729T112111_20180729T112845_T29TPE,0.3391464699802544,0.1973347418163219,-0.12224530289438298,0.1845442350109889,2018-07-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180808T112111_20180808T112558_T29TPE,0.3206245899558455,0.1967684174348397,-0.12961723995379773,0.18028474350105841,2018-08-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180813T112109_20180813T112108_T29TPE,0.31728913691052835,0.19917932822144518,-0.13454991548949474,0.1795743019418687,2018-08-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180818T112111_20180818T112627_T29TPE,0.3141002906084346,0.202242930699659,-0.13660477732248888,0.178907508254211,2018-08-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180823T112109_20180823T112334_T29TPE,0.32512765166914154,0.19754906750915566,-0.15063857091727453,0.18281270954249781,2018-08-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180828T112111_20180828T112246_T29TPE,0.3279358177328357,0.20646708622491955,-0.12531441445442554,0.18058838894612636,2018-08-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180902T112109_20180902T112716_T29TPE,0.28462615758782994,0.1518750994975031,-0.12186649032782532,0.13717998040743298,2018-09-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180912T112109_20180912T112723_T29TPE,0.3071109601155489,0.19001060991285693,-0.1563888742067042,0.16787080022055012,2018-09-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180917T112111_20180917T112930_T29TPE,0.3142680242007224,0.1977719852909146,-0.16133370866835592,0.1687969094813342,2018-09-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180922T112109_20180922T112106_T29TPE,0.3036828767090496,0.1866000442535067,-0.1582989355124573,0.15238716266302532,2018-09-22,"{""type"":""MultiPoint"",""coordinates"":[]}"
